,DeltaID,Delta,gridcode,MEAN_temp,dam_count,dam_area,basin_area,dam_area_percent,gauge,status,Climate_Code,Wave_H,Wave_T,Lon_gauge,Lat_gauge,gauge_area,gauge_R,gauge_stdv,Unnamed: 0,storage_fraction,Q_mean,elevrange,Forrest_p,Qs,Qr,RR,R_max,R_anomaly,p_val,p_val_anomaly,optimized_lag,Q_trend
0,1,Amazon,1452,24.681,7,2623.2,4853134.51,0.054051665,610238503.0,gauged,1,0.514444444,2.776868687,-55.5131,-1.9192,4671740.5,0.946486951585608,0.2094530966618888,0.0,5.231506140856533e-05,196639.8571072621,5183.929523706436,0.8527208481217087,1413.077342738805,197329.1149378495,139.6449500459679,-0.9089397326823517,-0.5278169318380992,1.3335489081954413e-30,6.841024451268607e-07,-1.0,-3423.466271841399
1,2,Amur,3376,2.0,6,2583.8,2334643.669,0.110672135,,ungauged,26,0.546084337,2.700662651,,,,,,1.0,0.0038155239257747,14316.63003686653,1998.3416879177094,0.5251285234824933,1621.6603767158736,1897.7573309079362,1.170255719481291,-0.6297213863688276,-0.5541987476640924,7.397166216903935e-07,2.4509220958882893e-05,1.0,-3273.9526892221097
2,3,Brahmani,2028,23.938,4,53.6,42942.7036,0.124817479,,ungauged,3,0.512334914,2.334714243,,,,,,,,2102.3901515290086,932.3971216678619,0.18807974863484814,1351.5083785556826,793.0390781793299,0.5867807338544415,-0.7824808952102418,0.13506033328784528,1.6538770205699878e-17,0.235324249355962,0.0,-552.5561864709342
3,4,Burdekin,2679,22.255,3,219.3,114107.4772,0.19218723,531279841.0,gauged,3,0.690379802,2.865580813,147.2438,-19.7646,129877.969,0.8905276267808286,0.0304310536383531,,,347.1211971143474,908.1033363342285,0.07674699736796613,2880.6893459051234,669.7135041634499,0.23248376473341084,-0.7195327106021607,-0.7095751989875059,7.98030671590906e-14,2.4775021433790485e-13,0.0,-17.053448502735424
4,5,Chao_Phraya,1355,25.462,10,725.8,131426.6058,0.55224739,,ungauged,3,0.581690982,2.567521683,,,,,,2.0,0.0015658289626567,1213.245794979491,1334.131353855133,0.3659761508565552,1868.1292814135775,1780.6430117834955,0.953169049647419,-0.7719274043257883,-0.33564398799267614,2.0706287848617418e-16,0.0028434418463848597,-2.0,35.65526096795194
5,6,Colorado,827,11.703,85,1486.2,630813.3929,0.235600578,700771465.0,gauged,4,0.530530276,2.422004088,-111.5896,36.8646,283217.656,0.3401288157540824,0.1840473407923322,3.0,0.0901378785175058,278.979082928763,3725.40079498291,0.14794048685690966,1480.4096216263752,3174.4453320350344,2.14430201321415,0.527110985330969,0.15650622804307884,9.987930591800767e-07,0.17697951669150475,3.0,6.365406159431704
6,7,Congo,365,23.45,5,411.4,3001319.196,0.013707306,,ungauged,3,0.472678327,2.311197449,,,,,,39.0,0.0001827770452641,58066.87951218282,3000.479376077652,0.5286049053300387,1111.6487261307939,58469.23341535481,52.59686089765326,-0.6898913505096952,-0.43367980276352974,2.8284715056001497e-12,7.295324508151796e-05,-1.0,-2336.1848958333335
7,8,Danube,5224,8.75,183,1256.1,931069.3805,0.134909388,210592462.0,gauged,7,0.481777942,2.327527417,13.5021,48.5813,76860.469,0.746381522828305,0.2041345739351033,4.0,0.0088762273142249,6619.884057667492,2888.6271120384336,0.3733491624861897,1165.343772382813,5967.248992815957,5.1205911373384225,-0.4597744520142327,0.03809170917094979,2.2882142100668928e-05,0.7405647343837574,1.0,-44.42700457829309
8,9,Dnieper,5379,7.414,6,5685.9,660958.8589,0.860250214,,ungauged,7,0.486941078,2.339205001,,,,,,5.0,0.0229559297626104,2851.445336192196,353.2577474117279,0.2270368098626274,1196.7393107453402,401.2560920893118,0.33529114359868883,0.3104077664614997,0.31034367129449103,0.006352957058918837,0.006364391522716277,3.0,-109.3936511624244
9,10,Ebro,1762,11.9,45,272.7,93352.53876,0.292118462,,ungauged,7,0.46148454,2.246699223,,,,,,6.0,0.0962147244593345,292.6133516631844,2457.863808631897,0.26412471771794427,1043.5870278575062,831.4554960804675,0.7967284700610483,-0.532149538760196,-0.12930938199403294,6.330712333508172e-07,0.26235628663992855,2.0,0.9545585878433703
10,11,Fly,1920,25.152,0,0.0,51900.95463,0.0,,ungauged,1,0.483772867,2.316981892,,,,,,,,31.741459002824303,3173.2190504074097,0.9559850585277733,1175.889882350368,849.7370749113693,0.7226332054264429,-0.7541161974481547,-0.584678459303093,1.5866954424944073e-15,1.9029130212460046e-08,-1.0,-2.20618071094636
11,12,Ganges,2327,17.346,79,2893.6,1436603.769,0.201419491,222222222.0,gauged,3,0.470032263,2.291242878,89.0267,24.0674,940708.812,0.4867656464918495,0.0567350526316824,7.0,0.0008357862896755,19620.765420134063,6394.4711758717895,0.19346839994963788,1094.8714733178326,45554.82709732853,41.607465540482046,-0.9127608480469153,-0.43498782309155215,1.1406686415331605e-31,6.175112722201734e-05,0.0,-1250.1940629200265
